choice,large_amount,later_delay,small_amount,response_time,rt_nan,worker_id
smaller_sooner,23.0,176.0,20.0,0.917,0,s172
smaller_sooner,24.0,87.0,20.0,1.259,0,s172
smaller_sooner,36.0,140.0,20.0,0.976,0,s172
smaller_sooner,35.0,171.0,20.0,0.744,0,s172
smaller_sooner,34.0,43.0,20.0,1.101,0,s172
smaller_sooner,31.0,76.0,20.0,1.596,0,s192
larger_later,43.0,19.0,20.0,0.913,0,s192
smaller_sooner,60.0,124.0,20.0,1.939,0,s192
smaller_sooner,27.0,142.0,20.0,1.338,0,s192
smaller_sooner,25.0,70.0,20.0,1.416,0,s192
larger_later,44.0,92.0,20.0,0.726,0,s192
larger_later,41.0,27.0,20.0,0.981,0,s192
larger_later,64.0,89.0,20.0,0.765,0,s192
larger_later,78.0,108.0,20.0,0.929,0,s192
larger_later,80.0,145.0,20.0,1.329,0,s192
smaller_sooner,41.0,174.0,20.0,1.279,0,s192
smaller_sooner,42.0,145.0,20.0,0.824,0,s192
smaller_sooner,36.0,114.0,20.0,1.017,0,s192
larger_later,58.0,55.0,20.0,1.036,0,s192
larger_later,81.0,58.0,20.0,1.142,0,s192
smaller_sooner,32.0,111.0,20.0,1.73,0,s192
smaller_sooner,25.0,141.0,20.0,1.375,0,s192
larger_later,67.0,23.0,20.0,0.834,0,s192
larger_later,77.0,161.0,20.0,1.585,0,s192
larger_later,55.0,163.0,20.0,1.508,0,s192
smaller_sooner,40.0,159.0,20.0,1.894,0,s192
larger_later,76.0,161.0,20.0,1.496,0,s192
smaller_sooner,48.0,128.0,20.0,0.932,0,s192
larger_later,39.0,95.0,20.0,1.591,0,s192
larger_later,83.0,105.0,20.0,0.94,0,s192
larger_later,67.0,41.0,20.0,1.067,0,s192
larger_later,56.0,172.0,20.0,1.062,0,s192
smaller_sooner,28.0,123.0,20.0,1.357,0,s192
larger_later,50.0,129.0,20.0,0.539,0,s192
larger_later,23.0,61.0,20.0,0.789,0,s192
larger_later,79.0,92.0,20.0,0.7,0,s192
larger_later,61.0,141.0,20.0,1.544,0,s192
larger_later,43.0,38.0,20.0,1.48,0,s192
larger_later,66.0,145.0,20.0,1.269,0,s192
larger_later,30.0,23.0,20.0,1.71,0,s192
larger_later,32.0,57.0,20.0,1.406,0,s192
smaller_sooner,27.0,91.0,20.0,1.64,0,s192
larger_later,43.0,120.0,20.0,1.779,0,s192
larger_later,75.0,60.0,20.0,0.922,0,s192
larger_later,34.0,176.0,20.0,1.541,0,s192
smaller_sooner,24.0,38.0,20.0,1.767,0,s192
larger_later,82.0,74.0,20.0,0.974,0,s192
larger_later,58.0,53.0,20.0,1.297,0,s192
larger_later,54.0,23.0,20.0,1.225,0,s192
larger_later,41.0,55.0,20.0,1.016,0,s192
larger_later,77.0,142.0,20.0,0.638,0,s192
smaller_sooner,25.0,108.0,20.0,1.453,0,s192
smaller_sooner,33.0,163.0,20.0,2.182,0,s192
smaller_sooner,29.0,75.0,20.0,1.906,0,s192
larger_later,45.0,157.0,20.0,1.754,0,s192
larger_later,31.0,74.0,20.0,1.703,0,s192
larger_later,80.0,39.0,20.0,0.91,0,s192
smaller_sooner,22.0,21.0,20.0,1.57,0,s192
larger_later,52.0,139.0,20.0,2.289,0,s192
larger_later,54.0,126.0,20.0,0.954,0,s192
smaller_sooner,23.0,176.0,20.0,1.222,0,s192
smaller_sooner,24.0,87.0,20.0,1.411,0,s192
larger_later,36.0,140.0,20.0,2.285,0,s192
larger_later,35.0,171.0,20.0,1.458,0,s192
larger_later,34.0,43.0,20.0,1.44,0,s192
larger_later,74.0,121.0,20.0,0.802,0,s192
larger_later,45.0,107.0,20.0,1.502,0,s192
larger_later,77.0,24.0,20.0,0.775,0,s192
larger_later,39.0,161.0,20.0,1.99,0,s192
larger_later,62.0,180.0,20.0,0.775,0,s192
smaller_sooner,24.0,139.0,20.0,1.315,0,s192
larger_later,58.0,72.0,20.0,0.818,0,s192
larger_later,56.0,93.0,20.0,0.947,0,s192
larger_later,45.0,26.0,20.0,1.303,0,s192
smaller_sooner,23.0,42.0,20.0,1.401,0,s192
larger_later,50.0,41.0,20.0,1.22,0,s192
smaller_sooner,25.0,176.0,20.0,1.238,0,s192
larger_later,54.0,22.0,20.0,0.837,0,s192
larger_later,29.0,44.0,20.0,1.594,0,s192
smaller_sooner,24.0,89.0,20.0,1.493,0,s192
smaller_sooner,23.0,77.0,20.0,0.985,0,s192
larger_later,27.0,130.0,20.0,1.123,0,s192
smaller_sooner,23.0,134.0,20.0,1.836,0,s192
larger_later,55.0,107.0,20.0,1.07,0,s192
larger_later,44.0,143.0,20.0,1.112,0,s192
smaller_sooner,23.0,110.0,20.0,1.116,0,s192
larger_later,65.0,156.0,20.0,1.069,0,s192
smaller_sooner,22.0,27.0,20.0,1.243,0,s192
larger_later,50.0,59.0,20.0,1.048,0,s192
larger_later,85.0,129.0,20.0,1.447,0,s192
larger_later,66.0,58.0,20.0,1.21,0,s192
larger_later,49.0,172.0,20.0,1.389,0,s192
larger_later,73.0,44.0,20.0,1.036,0,s192
larger_later,58.0,73.0,20.0,0.722,0,s192
larger_later,71.0,76.0,20.0,0.664,0,s192
larger_later,67.0,74.0,20.0,0.594,0,s192
larger_later,29.0,58.0,20.0,1.368,0,s192
larger_later,39.0,104.0,20.0,1.07,0,s192
larger_later,33.0,103.0,20.0,1.424,0,s192
larger_later,33.0,78.0,20.0,1.108,0,s192
larger_later,74.0,52.0,20.0,0.626,0,s192
smaller_sooner,28.0,132.0,20.0,1.766,0,s192
smaller_sooner,28.0,59.0,20.0,1.514,0,s192
smaller_sooner,28.0,163.0,20.0,1.377,0,s192
larger_later,32.0,74.0,20.0,1.658,0,s192
larger_later,57.0,89.0,20.0,0.746,0,s192
larger_later,70.0,108.0,20.0,0.792,0,s192
larger_later,72.0,95.0,20.0,0.778,0,s192
larger_later,30.0,36.0,20.0,2.006,0,s192
larger_later,41.0,129.0,20.0,2.231,0,s192
larger_later,78.0,129.0,20.0,1.763,0,s192
larger_later,71.0,88.0,20.0,0.774,0,s192
larger_later,65.0,159.0,20.0,1.334,0,s192
smaller_sooner,24.0,125.0,20.0,1.803,0,s192
larger_later,58.0,36.0,20.0,0.946,0,s192
larger_later,63.0,37.0,20.0,1.903,0,s192
larger_later,75.0,41.0,20.0,0.927,0,s192
larger_later,45.0,72.0,20.0,1.717,0,s192
smaller_sooner,25.0,74.0,20.0,1.952,0,s192
larger_later,65.0,137.0,20.0,1.497,0,s192
larger_later,49.0,140.0,20.0,1.306,0,s192
larger_later,67.0,103.0,20.0,1.585,0,s192
larger_later,69.0,172.0,20.0,0.988,0,s192
larger_later,66.0,71.0,20.0,1.432,0,s192
larger_later,71.0,176.0,20.0,1.12,0,s192
larger_later,67.0,74.0,20.0,0.838,0,s234
smaller_sooner,29.0,58.0,20.0,0.837,0,s234
smaller_sooner,39.0,104.0,20.0,1.295,0,s234
smaller_sooner,33.0,103.0,20.0,1.19,0,s234
smaller_sooner,33.0,78.0,20.0,1.059,0,s234
larger_later,74.0,52.0,20.0,0.912,0,s234
smaller_sooner,28.0,132.0,20.0,1.126,0,s234
smaller_sooner,28.0,59.0,20.0,0.836,0,s234
smaller_sooner,28.0,163.0,20.0,0.862,0,s234
smaller_sooner,32.0,74.0,20.0,1.318,0,s234
larger_later,57.0,89.0,20.0,0.87,0,s234
larger_later,70.0,108.0,20.0,0.624,0,s234
larger_later,72.0,95.0,20.0,0.645,0,s234
smaller_sooner,30.0,36.0,20.0,1.59,0,s234
larger_later,41.0,129.0,20.0,1.258,0,s234
larger_later,78.0,129.0,20.0,0.897,0,s234
larger_later,71.0,88.0,20.0,1.142,0,s234
larger_later,65.0,159.0,20.0,0.532,0,s234
smaller_sooner,24.0,125.0,20.0,0.769,0,s234
larger_later,58.0,36.0,20.0,0.899,0,s234
larger_later,63.0,37.0,20.0,1.941,0,s234
larger_later,75.0,41.0,20.0,1.004,0,s234
larger_later,45.0,72.0,20.0,1.073,0,s234
larger_later,25.0,74.0,20.0,0.597,0,s234
larger_later,65.0,137.0,20.0,0.809,0,s234
larger_later,49.0,140.0,20.0,1.396,0,s234
false,67.0,103.0,20.0,7.018000000000001,1,s234
smaller_sooner,69.0,172.0,20.0,1.16,0,s234
larger_later,66.0,71.0,20.0,0.914,0,s234
