model_name,test_fold,val_fold,participant_emb_dim,hyper_hidden_dim,hidden_dim,n_epochs,lr,patience,best_val_loss,test_accuracy,test_balanced_accuracy,test_auc,n_pred_0,n_pred_1,model_path
HyperRNN,4,0,2,8,2,400,0.005,50,0.3846578896045685,0.8071399261386951,0.6165711876535015,0.8166986362112038,4399,475,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_8hyperh_2hidden.pt
HyperRNN,0,1,2,8,4,400,0.005,50,0.40287842069353375,0.8285194910119168,0.6331702750354401,0.814724278622638,4487,464,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_8hyperh_4hidden.pt
HyperRNN,1,2,2,8,4,400,0.005,50,0.39229445372309,0.8244011368250102,0.668883340371648,0.818126536327568,4262,664,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_8hyperh_4hidden.pt
HyperRNN,2,3,2,8,4,400,0.005,50,0.39565812264169964,0.8145358306188925,0.6334487191518259,0.8040740477264402,4359,553,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_8hyperh_4hidden.pt
HyperRNN,3,4,2,8,4,400,0.005,50,0.4056299797126225,0.8249591503267973,0.6433100245705228,0.8300874644057591,4354,542,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_8hyperh_4hidden.pt
HyperRNN,4,0,2,8,4,400,0.005,50,0.38372042775154114,0.8104226508001642,0.6470567240267795,0.8185241100102638,4249,625,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_8hyperh_4hidden.pt
HyperRNN,0,1,2,8,8,400,0.005,50,0.4052958829062326,0.8258937588365987,0.646948214276641,0.8202176199501043,4392,559,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_8hyperh_8hidden.pt
HyperRNN,1,2,2,8,8,400,0.005,50,0.40302165916987825,0.8174989849776695,0.6447993181284093,0.8103713208365164,4338,588,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_8hyperh_8hidden.pt
HyperRNN,2,3,2,8,8,400,0.005,50,0.3832116254738399,0.8210504885993485,0.6415479257292717,0.824681036666152,4369,543,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_8hyperh_8hidden.pt
HyperRNN,3,4,2,8,8,400,0.005,50,0.41832189900534494,0.8229166666666666,0.6359383477720794,0.8163707640156102,4376,520,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_8hyperh_8hidden.pt
HyperRNN,4,0,2,8,8,400,0.005,50,0.38384056091308594,0.811653672548215,0.6615244404049107,0.825621770256005,4175,699,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_8hyperh_8hidden.pt
HyperRNN,0,1,2,8,16,400,0.005,50,0.4043902116162436,0.8256917794384973,0.6573532475318961,0.8284671588478285,4335,616,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_8hyperh_16hidden.pt
HyperRNN,1,2,2,8,16,400,0.005,50,0.40889689326286316,0.8189200162403573,0.6392418798618376,0.8082880462945459,4381,545,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_8hyperh_16hidden.pt
HyperRNN,2,3,2,8,16,400,0.005,50,0.3973232890878405,0.8188110749185668,0.6390472269563875,0.814798571778859,4364,548,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_8hyperh_16hidden.pt
HyperRNN,3,4,2,8,16,400,0.005,50,0.42020179118428913,0.8198529411764706,0.6195486833543092,0.8174179554860432,4437,459,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_8hyperh_16hidden.pt
HyperRNN,4,0,2,8,16,400,0.005,50,0.39522504806518555,0.810627821091506,0.6256389468119147,0.810921315263167,4376,498,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_8hyperh_16hidden.pt
HyperRNN,0,1,2,8,32,400,0.005,50,0.4031142805303846,0.8275095940214098,0.6378040353435529,0.8199636961348706,4454,497,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_8hyperh_32hidden.pt
HyperRNN,1,2,2,8,32,400,0.005,50,0.4094818873064859,0.8193260251725538,0.6473879278460785,0.8026124842137387,4339,587,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_8hyperh_32hidden.pt
HyperRNN,2,3,2,8,32,400,0.005,50,0.39428412914276123,0.8106677524429967,0.6186753486044219,0.8078938379835786,4408,504,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_8hyperh_32hidden.pt
HyperRNN,3,4,2,8,32,400,0.005,50,0.42961167863437105,0.8206699346405228,0.6493866208550729,0.8116654218052407,4287,609,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_8hyperh_32hidden.pt
HyperRNN,4,0,2,8,32,400,0.005,50,0.3949788681098393,0.8067295855560115,0.6207557734171854,0.8065510838952067,4371,503,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_8hyperh_32hidden.pt
HyperRNN,0,1,2,8,64,400,0.005,50,0.40591139452798025,0.8303373055948293,0.6632692024327909,0.821242969142985,4342,609,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_8hyperh_64hidden.pt
HyperRNN,1,2,2,8,64,400,0.005,50,0.4064881546156747,0.8227771010962242,0.6345060638972417,0.8078802319422278,4440,486,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_8hyperh_64hidden.pt
HyperRNN,2,3,2,8,64,400,0.005,50,0.40089727299554007,0.8106677524429967,0.62266566971705,0.8026976921827242,4386,526,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_8hyperh_64hidden.pt
HyperRNN,3,4,2,8,64,400,0.005,50,0.4222988188266754,0.827001633986928,0.6232592196655695,0.8208977613032594,4476,420,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold3_2pdim_8hyperh_64hidden.pt
HyperRNN,4,0,2,8,64,400,0.005,50,0.4028413040297372,0.8079606073040624,0.6123065437720857,0.7898520263254886,4431,443,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold4_2pdim_8hyperh_64hidden.pt
HyperRNN,0,1,2,16,2,400,0.005,50,0.40313889724867685,0.829125429206221,0.649722703507426,0.8228379003206121,4404,547,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold0_2pdim_16hyperh_2hidden.pt
HyperRNN,1,2,2,16,2,400,0.005,50,0.40433721031461445,0.8185140073081608,0.6414957221947655,0.8051496488875758,4365,561,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold1_2pdim_16hyperh_2hidden.pt
HyperRNN,2,3,2,16,2,400,0.005,50,0.3959398184503828,0.811685667752443,0.615689797310456,0.8114371462619938,4433,479,./Results/NN_Results/hyper_rnn/cct/cct_hyper_rnn_fold2_2pdim_16hyperh_2hidden.pt
