Subnum,trial,RT,choice,outcome,missed
7,86,0.69,2.0,-650,0
7,87,0.267,1.0,200,0
7,88,0.241,1.0,-1050,0
7,89,0.261,4.0,-100,0
7,90,0.341,3.0,-200,0
7,91,0.847,1.0,200,0
7,92,0.252,1.0,200,0
7,93,0.322,1.0,200,0
7,94,0.359,1.0,200,0
7,95,0.427,1.0,-1050,0
7,96,0.342,2.0,100,0
7,97,0.22,1.0,200,0
7,98,0.284,2.0,100,0
7,99,0.451,2.0,100,0
7,100,0.312,2.0,100,0
8,1,1.14,4.0,-100,0
8,2,0.911,1.0,200,0
8,3,0.495,1.0,200,0
8,4,0.384,3.0,-200,0
8,5,0.405,2.0,100,0
8,6,0.169,1.0,200,0
8,7,0.205,1.0,200,0
8,8,0.17,1.0,-1050,0
8,9,0.343,1.0,200,0
8,10,0.424,4.0,-100,0
8,11,0.229,4.0,-100,0
8,12,0.239,4.0,-100,0
8,13,0.261,4.0,650,0
8,14,0.719,2.0,100,0
8,15,0.307,3.0,-200,0
8,16,0.95,4.0,-100,0
8,17,0.492,4.0,-100,0
8,18,0.438,1.0,200,0
8,19,0.196,2.0,100,0
8,20,0.282,4.0,-100,0
8,21,0.29,1.0,200,0
8,22,0.325,4.0,-100,0
8,23,1.38,2.0,100,0
8,24,0.257,4.0,650,0
8,25,0.338,3.0,-200,0
8,26,2.0,,0,1
8,27,0.458,2.0,-650,0
8,28,0.237,1.0,200,0
8,29,0.275,3.0,-200,0
8,30,0.376,4.0,-100,0
8,31,0.226,1.0,-1050,0
8,32,0.306,1.0,200,0
8,33,0.232,1.0,200,0
8,34,0.255,1.0,200,0
8,35,0.256,3.0,1050,0
8,36,1.15,4.0,-100,0
8,37,0.235,2.0,100,0
8,38,0.28,4.0,-100,0
8,39,0.347,1.0,200,0
8,40,0.239,4.0,-100,0
8,41,0.336,2.0,100,0
8,42,0.273,4.0,650,0
8,43,0.257,3.0,-200,0
8,44,2.0,3.0,-200,0
8,45,0.234,3.0,-200,0
8,46,0.213,3.0,-200,0
8,47,0.25,3.0,1050,0
8,48,0.327,1.0,-1050,0
8,49,0.366,1.0,200,0
8,50,0.203,1.0,200,0
8,51,1.04,4.0,-100,0
8,52,0.261,1.0,200,0
8,53,0.285,1.0,200,0
8,54,0.243,1.0,200,0
8,55,0.29,4.0,-100,0
8,56,0.198,2.0,100,0
8,57,0.227,4.0,-100,0
8,58,0.269,2.0,100,0
8,59,0.269,4.0,-100,0
8,60,0.339,2.0,100,0
8,61,0.211,4.0,650,0
8,62,0.238,3.0,-200,0
8,63,0.255,1.0,200,0
8,64,0.677,2.0,100,0
8,65,0.461,1.0,-1050,0
8,66,0.238,3.0,-200,0
8,67,0.227,3.0,-200,0
8,68,0.451,1.0,200,0
8,69,0.225,1.0,200,0
8,70,0.892,1.0,200,0
8,71,0.231,3.0,-200,0
8,72,0.256,3.0,1050,0
8,73,1.26,4.0,-100,0
8,74,0.278,2.0,-650,0
8,75,1.36,4.0,-100,0
8,76,0.265,2.0,100,0
8,77,0.314,4.0,-100,0
8,78,0.312,2.0,100,0
8,79,0.452,4.0,-100,0
8,80,0.478,2.0,100,0
8,81,2.0,,0,1
8,82,0.317,1.0,200,0
8,83,0.458,3.0,-200,0
8,84,0.299,4.0,650,0
8,85,1.99,3.0,-200,0
8,86,1.71,3.0,-200,0
8,87,0.912,2.0,100,0
8,88,0.891,3.0,-200,0
8,89,0.283,3.0,1050,0
8,90,0.425,1.0,-1050,0
8,91,0.388,1.0,200,0
8,92,0.303,3.0,-200,0
8,93,0.26,1.0,200,0
8,94,0.277,3.0,-200,0
8,95,0.856,1.0,200,0
8,96,0.224,3.0,-200,0
8,97,1.46,2.0,-650,0
8,98,0.505,3.0,-200,0
8,99,0.401,3.0,1050,0
8,100,0.27,2.0,100,0
9,1,1.22,2.0,100,0
9,2,1.43,1.0,200,0
9,3,0.552,1.0,200,0
9,4,1.42,1.0,200,0
9,5,0.471,1.0,200,0
9,6,0.816,1.0,-1050,0
9,7,0.614,3.0,-200,0
9,8,0.3,2.0,100,0
9,9,0.43,4.0,-100,0
9,10,0.53,2.0,100,0
9,11,0.304,1.0,200,0
9,12,1.28,1.0,200,0
9,13,0.668,1.0,200,0
9,14,0.673,2.0,100,0
9,15,0.594,1.0,200,0
9,16,0.581,2.0,-650,0
9,17,0.441,1.0,-1050,0
9,18,0.635,4.0,-100,0
9,19,0.279,1.0,200,0
9,20,0.623,1.0,200,0
9,21,0.448,3.0,-200,0
9,22,0.604,1.0,200,0
9,23,1.15,1.0,200,0
9,24,1.31,2.0,100,0
9,25,0.351,1.0,-1050,0
9,26,0.378,2.0,100,0
9,27,0.474,2.0,100,0
9,28,0.346,3.0,-200,0
9,29,0.251,1.0,200,0
9,30,1.84,2.0,100,0
9,31,0.858,1.0,200,0
9,32,0.436,2.0,-650,0
9,33,0.295,1.0,200,0
9,34,0.399,1.0,200,0
9,35,1.35,1.0,-1050,0
9,36,0.36,4.0,-100,0
9,37,0.323,2.0,100,0
9,38,0.537,2.0,100,0
9,39,0.445,1.0,200,0
9,40,0.477,3.0,-200,0
9,41,0.297,1.0,200,0
9,42,0.257,1.0,200,0
9,43,0.65,2.0,100,0
9,44,0.29,1.0,200,0
9,45,0.435,2.0,100,0
9,46,0.378,1.0,-1050,0
9,47,0.326,2.0,-650,0
9,48,0.395,3.0,1050,0
9,49,2.0,,0,1
